"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"Phosphorylation Of APC/C R-HSA-176412","4/20",0.000214516169011506,0.00461209763374737,0,0,16.2897350993377,137.601435808063,"CCNB1;UBE2C;PLK1;CDK1","Reactome_2022","Downregulated"
"Processing Of DNA Double-Strand Break Ends R-HSA-5693607","7/80",0.000224050118003195,0.00469356272842591,0,0,6.29252760342695,52.8801416406733,"H2AX;CCNA2;TIPIN;PPP4C;CHEK1;CDK2;TIMELESS","Reactome_2022","Downregulated"
"Mitotic Anaphase R-HSA-68882","12/232",0.000253251502977915,0.00517266194832391,0,0,3.61298701298701,29.919606038467,"CCNB2;CCNB1;INCENP;UBE2C;CDCA5;PLK1;CDK1;CDCA8;KIF2C;SPC24;NDC80;AURKB","Reactome_2022","Downregulated"
"Mitotic Metaphase And Anaphase R-HSA-2555396","12/233",0.000263422085289506,0.00524916691906161,0,0,3.59645396620187,29.6410849963242,"CCNB2;CCNB1;INCENP;UBE2C;CDCA5;PLK1;CDK1;CDCA8;KIF2C;SPC24;NDC80;AURKB","Reactome_2022","Downregulated"
"Lipophagy R-HSA-9613354","3/9",0.000278232308717336,0.00541228086243008,0,0,32.4884488448845,265.984689954291,"PRKAA2;PRKAG1;PLIN2","Reactome_2022","Downregulated"
"Mitotic Spindle Checkpoint R-HSA-69618","8/110",0.000290924741648324,0.00552757009131815,0,0,5.15646795631004,41.9862615962528,"UBE2C;INCENP;PLK1;CDCA8;KIF2C;NDC80;AURKB;SPC24","Reactome_2022","Downregulated"
"DNA Repair R-HSA-73894","14/310",0.000322038865496367,0.00597967620705755,0,0,3.1420307293595,25.2645610893796,"H2AX;FANCI;TIPIN;MGMT;MPG;MLH1;CCNA2;PPP4C;NTHL1;CHEK1;CDK2;PCLAF;TIMELESS;POLE","Reactome_2022","Downregulated"
"HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567","8/114",0.000370782421603919,0.00654159590586703,0,0,4.96087121691782,39.190362377375,"H2AX;CCNA2;TIPIN;PPP4C;CHEK1;CDK2;TIMELESS;POLE","Reactome_2022","Downregulated"
"APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143","7/87",0.000376321918697369,0.00654159590586703,0,0,5.73988294314381,45.2593536241016,"CCNA2;CCNB1;UBE2C;PLK1;CDK2;CDK1;AURKB","Reactome_2022","Downregulated"
"Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942","7/87",0.000376321918697369,0.00654159590586703,0,0,5.73988294314381,45.2593536241016,"CCNB2;CCNB1;FBXW11;PLK1;CDK1;CSNK1E;HAUS1","Reactome_2022","Downregulated"
"Condensation Of Prometaphase Chromosomes R-HSA-2514853","3/10",0.000392978576254073,0.00668882284999119,0,0,27.8458274398868,218.360169390829,"CCNB2;CCNB1;CDK1","Reactome_2022","Downregulated"
"Opioid Signaling R-HSA-111885","7/88",0.000403574286125954,0.00672898350540621,0,0,5.66873116148478,44.3019842391645,"NBEA;GNB1;GNAI3;CAMKK1;CAMKK2;GNAI2;PPP1CA","Reactome_2022","Downregulated"
"Defective Pyroptosis R-HSA-9710421","5/42",0.000434032304391772,0.00695302730760937,0,0,8.82508754601778,68.3272836198192,"H2AX;POLA1;POLA2;PRIM1;EZH2","Reactome_2022","Downregulated"
"Signaling By SCF-KIT R-HSA-1433557","5/42",0.000434032304391772,0.00695302730760937,0,0,8.82508754601778,68.3272836198192,"LYN;GRB7;YES1;CHEK1;SOCS6","Reactome_2022","Downregulated"
"Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756","7/90",0.000462807467078849,0.00727141731929652,0,0,5.53157110045533,42.4725060605927,"CCNA2;PRKAA1;PRKAA2;CHEK1;CDK2;PRKAG1;AURKB","Reactome_2022","Downregulated"
"Homology Directed Repair R-HSA-5693538","8/119",0.000494808656780439,0.00748627171462257,0,0,4.73619928653486,36.0488203404525,"H2AX;CCNA2;TIPIN;PPP4C;CHEK1;CDK2;TIMELESS;POLE","Reactome_2022","Downregulated"
"Synthesis Of DNA R-HSA-69239","8/119",0.000494808656780439,0.00748627171462257,0,0,4.73619928653486,36.0488203404525,"CCNA2;GINS1;POLA1;POLA2;UBE2C;PRIM1;CDK2;POLE","Reactome_2022","Downregulated"
"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444","7/93",0.000564455250502891,0.00838472617565204,0,0,5.33779264214047,39.9248178017053,"INCENP;PLK1;CDCA8;KIF2C;AURKB;NDC80;SPC24","Reactome_2022","Downregulated"
"RHOB GTPase Cycle R-HSA-9013026","6/69",0.000652075907585696,0.00951332172316988,0,0,6.23206349206349,45.7143643198936,"ANLN;ARHGEF12;RACGAP1;FLOT1;FLOT2;ECT2","Reactome_2022","Downregulated"
"Telomere C-strand Synthesis Initiation R-HSA-174430","3/12",0.000704270734764966,0.00989606474597211,0,0,21.6556655665567,157.184350558501,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"G0 And Early G1 R-HSA-1538133","4/27",0.000714220183019836,0.00989606474597211,0,0,11.3279585372876,82.0633482487571,"TOP2A;CCNA2;CDK2;CDK1","Reactome_2022","Downregulated"
"Regulation Of TP53 Activity R-HSA-5633007","9/157",0.000716133183461437,0.00989606474597211,0,0,4.0020475020475,28.9814048732536,"CCNA2;PRKAA1;PRKAA2;CHEK1;CDK2;CDK1;PRKAG1;AKT1;AURKB","Reactome_2022","Downregulated"
